URL,Project Name,Contractor,Address,Size,Project Size,Launch Date,Avg. Price,Possession Starts,Configuration,Rera Id,Sizes,Configurations,Possession Status
https://housing.com/buy-arcus-courtyard-2-by-sheth-infraspace-in-bhayli-vadodara-pid-302122?fltcnt=461b57c6-83c6-4049-bc53-51df75e57bfc,Arcus Courtyard 2,SHETH INFRASPACE,"Near Shantiniketan Society, Bhayli TP 24B, Bhayli Road, Vadodara",3460.00 sq.ft.,16 units,"Jun, 2023",6.18 K/sq.ft,"Mar, 2028",5 BHK Villa,PR/GJ/VADODARA/VADODARA/Others/RAA12032/280623,,,
https://housing.com/buy-vrundavan-bliss-by-shree-balaji-developers-in-waghodia-road-vadodara-pid-286444?fltcnt=2853b6b0-2060-41aa-aeac-6e4d764e3bb1,Vrundavan Bliss,SHREE BALAJI DEVELOPERS,"Opp. Taksh Galaxy Mall & L&T Knowledge City, Waghodia Road, Vadodara",,3 Buildings - 172 units,"Oct, 2022",4.37 K/sq.ft,"Mar, 2026",,PR/GJ/VADODARA/VADODARA/Vadodara Municipal Corporation/MN211AA10111/031022,962.00 sq.ft. - 1520.00 sq.ft.,"3, 4 BHK Apartments",
https://housing.com/buy-shaligram-west-by-krishna-infra-in-bhayli-vadodara-pid-295103?fltcnt=03b515a7-94be-4502-bca6-b165ece9510a,Shaligram West,KRISHNA INFRA,"SHALIGRAM WEST , OPP PETEL ASTER, NR STONGATE, BHAYLI TP-2, Vasna Bhayli Road, Vadodara",,2 Buildings - 48 units,"Mar, 2023",3.50 K/sq.ft,,,PR/GJ/VADODARA/VADODARA/Others/RAA11391/040323,2892.00 sq.ft. - 4820.00 sq.ft.,"4, 5 BHK Apartments",Under Construction
https://housing.com/buy-the-nest-by-vns-associates-in-vadsar-vadodara-pid-290504?fltcnt=1ce64dc3-ff97-4286-a7a0-aaee1f7594ee,The Nest,VNS ASSOCIATES,"The Nest, 30 Meter Vadsar Village Road, Opp. Billabong School, Vadsar, Vadodara",,2 Buildings - 97 units,"Oct, 2022",Price on request,"May, 2026",,PR/GJ/VADODARA/VADODARA/Others/MAA10902/121122,718.00 sq.ft. - 965.00 sq.ft.,"2, 3 BHK Apartments",
https://housing.com/buy-mattrix-aspire-by-space-infra-in-kalali-vadodara-pid-300746?fltcnt=297b41f8-121a-4b58-93a5-00c402cf229f,Mattrix Aspire,SPACE INFRA,"Opp. Kanha, Behind Delhi Public School, Kalali, Vadodara",1158.00 sq.ft.,4 Buildings - 112 units,"Jun, 2023",Price on request,"Jun, 2027",3 BHK Apartment,PR/GJ/VADODARA/VADODARA/Others/MAA11923/070623,,,
https://housing.com/buy-samanvay-anantam-by-samanvay-realty-in-akota-vadodara-pid-302728?fltcnt=a8909a1b-26a2-4e70-b6a3-25cbdf7bb342,Samanvay Anantam,SAMANVAY REALTY,"Old R C Patel Estate, Near Akota Garden, Akota, Vadodara",,7 Buildings - 308 units,,5.63 K/sq.ft,,,PR/GJ/VADODARA/ VADODARA/Others/MAA12128/070723,1331.00 sq.ft. - 2760.00 sq.ft.,"3, 4 BHK Apartments",Under Construction
https://housing.com/buy-aadhya-elior-by-aum-properties-in-bhayli-vadodara-pid-289822?fltcnt=a11d1874-8156-4b1c-ad9b-38505e699110,Aadhya Elior,AUM PROPERTIES,"Beside Petal Ester Apartment, 24 Mtr Road, Behind Priya Cinema, Bhayli, Vasna Bhayli Road, Vasna Bhayli Road, Vadodara",,6 Buildings - 156 units,"Sep, 2022",3.14 K/sq.ft,"Dec, 2025",,PR/GJ/VADODARA/VADODARA/Others/MAA10623/030922,2227.00 sq.ft. - 3176.00 sq.ft.,"3, 4 BHK Apartments",
https://housing.com/buy-aston-21-by-shreeji-infra-space-in-kalali-vadodara-pid-295871?fltcnt=16aa68f4-bd2c-450e-99d5-a0cc17e98c08,Aston 21,SHREEJI INFRA SPACE,"Kalali, Vadodara",,21 units,"Mar, 2023",5.31 K/sq.ft,"Dec, 2025",4 BHK Villa,PR/GJ/VADODARA/VADODARA/Others/RAA11308/030323,1600.00 sq.ft. - 1990.00 sq.ft.,,
https://housing.com/buy-kamaxi-avenue-by-kamaxi-group-in-waghodia-road-vadodara-pid-301584?fltcnt=260d0e89-b35b-49b0-bc6d-a823d6a0ab50,Kamaxi Avenue,KAMAXI GROUP,"Kamaxi Avenue Nr Pearl Ultima Waghodia Road, Vadodara",,6 Buildings - 216 units,"Jun, 2023",3.79 K/sq.ft,"Sep, 2026",,PR/GJ/VADODARA/VADODARA/Others/MAA11982/200623,1160.00 sq.ft. - 1440.00 sq.ft.,"3, 4 BHK Apartments",
https://housing.com/buy-prakruti-harmony-by-shivam-infra-in-bill-vadodara-pid-270216?fltcnt=8e1cd308-4194-4bb0-ad36-35e265ff625b,Prakruti Harmony,SHIVAM INFRA,"Opposite The Planet, Bill-Kalali Road, Bill, Vadodara",,118 units,,Price on request,"Dec, 2026",4 BHK Villa,PR/GJ/VADODARA/VADODARA/Others/RAA09644/311221,1700.00 sq.ft. - 1800.00 sq.ft.,,
https://housing.com/buy-trinetra-sky-deck-by-trinetra-developers-in-vadsar-vadodara-pid-293404?fltcnt=1a880b26-48da-4fa6-a8a5-baa23ac0e6ca,Trinetra Sky Deck,TRINETRA DEVELOPERS,"Nr. Khiskoli Circle, Vadsar, Vadodara",,1 Building - 72 units,"Jan, 2023",4.62 K/sq.ft,"Jan, 2026",,PR/GJ/VADODARA/VADODARA/Others/MAA11153/050123,758.00 sq.ft. - 1075.00 sq.ft.,"2, 3 BHK Apartments",
https://housing.com/buy-vr-26-by-vr-group-in-sama-savli-vadodara-pid-297802?fltcnt=78693f57-1e85-4892-9052-64a94b8532b8,VR 26,VR GROUP,"Bh. Narayan Greenwoods, Opp. Nayara Petrol Pump, Sama Savli Road, Vadodara",3018.00 sq.ft.,1 Building - 26 units,"Jun, 2023",Price on request,"Dec, 2025",4 BHK Apartment,PR/GJ/VADODARA/VADODARA/Others/RAA11651/210423,,,
https://housing.com/buy-nathdwar-dreams-by-nathdwar-group-in-waghodia-road-vadodara-pid-308117?fltcnt=485ccfd8-c7e8-48d7-9ffa-99ae6e06dc9c,Nathdwar Dreams,NATHDWAR GROUP,"Nr. D-Mart, Shivam Crossing, Waghodia, Vadodara",,4 Buildings - 159 units,"Jan, 2023",3.33 K/sq.ft,"Dec, 2024",,"PR/GJ/VADODARA/VADODARA/Others/RAA11195/130123, PR/GJ/VADODARA/VADODARA/Others/MAA10127/300422",,"2, 3 BHK Apartments",
https://housing.com/buy-aashray-primero-by-aashray-group-vadodara-in-kalali-vadodara-pid-292024?fltcnt=46c511dd-2b94-482c-bfef-16ecf4294b53,Aashray Primero,AASHRAY GROUP VADODARA,"Near Avadh Upvan 2 Old atladara -Bill Road kalali, Vadodara",,29 units,,Price on request,"Mar, 2027",4 BHK Bungalow,PR/GJ/VADODARA/VADODARA/Others/RAA10922/141122,,,
https://housing.com/buy-aaradhy-arise-by-aaradhy-infra-in-waghodia-road-vadodara-pid-292759?fltcnt=c29a21d7-4c2a-4b3e-b58d-7e515a2ed0d7,Aaradhy Arise,AARADHY INFRA,"B/H Bharat Petolpump, Soma talav, Waghodia-Dabhoi Ring Road, Vadodara",,2 Buildings - 104 units,,Price on request,"Dec, 2025",,PR/GJ/VADODARA/VADODARA/Others/RAA11111/311222,723.00 sq.ft. - 1019.00 sq.ft.,"2, 3 BHK Apartments",
https://housing.com/buy-aashray-elegance-by-aashray-group-vadodara-in-bhayli-vadodara-pid-261806?fltcnt=46c511dd-2b94-482c-bfef-16ecf4294b53,Aashray Elegance,AASHRAY GROUP VADODARA,"Opp Ashray Greens IIRA International School TP-4 Bhayli, Vasna Bhayli Road, Vadodara",1267.00 sq.ft.,4 Buildings - 160 units,,3.71 K/sq.ft,"Aug, 2024",3 BHK Apartment,PR/GJ/VADODARA/VADODARA/Others/MAA08712/030721,,,
https://housing.com/buy-samruddhi-silver-by-samruddhi-silver-in-kalali-vadodara-pid-305195?fltcnt=1ea7d60d-d126-4b15-9b0e-6a4ed8adfaf5,Samruddhi Silver,SAMRUDDHI SILVER,"Opp Shivam Trade Center, Nr Sonal Park, Kalali-Vadsar Road, Vadodara",,5 Buildings - 141 units,"Nov, 2022",2.21 K/sq.ft,"Dec, 2027",2 BHK Apartment,PR/GJ/VADODARA/VADODARA/Others/MAA10979/291122,1042.00 sq.ft. - 1145.00 sq.ft.,,
https://housing.com/buy-nathdwar-resicom-by-nathdwar-group-in-waghodia-road-vadodara-pid-307763?fltcnt=485ccfd8-c7e8-48d7-9ffa-99ae6e06dc9c,Nathdwar Resicom,NATHDWAR GROUP,"Prabhat Char Rasta, Waghodia Road, Vadodara",,7 Buildings - 196 units,"Apr, 2022",3.46 K/sq.ft,"Dec, 2024",,PR/GJ/VADODARA/VADODARA/Others/MAA10049/A1M/270923,780.00 sq.ft. - 1020.00 sq.ft.,"2, 3 BHK Apartments",
https://housing.com/buy-auro-nirvana-by-auro-group-in-bhayli-vadodara-pid-306652?fltcnt=2a5016ae-dae1-41bb-8820-4c0f39b4f6cd,Auro Nirvana,THE AURO GROUP,"Near Madrid County Bhayli Tp-5 Bhayli Vasna Bhayli Road, Vasna Bhayli Road, Vadodara",,,"Sep, 2023",5.72 K/sq.ft,"Sep, 2026",5 BHK Villa,Rera Not Applicable,,,
https://housing.com/buy-aruma-park-by-aruma-realty-in-bill-vadodara-pid-259687?fltcnt=e711afed-ed1c-4596-b0fb-c8cb07e446ee,Aruma Park,ARUMA REALTY,"Next To Silchar Company, Near Architect College, Bill, Vadodara",,4 Buildings - 164 units,,3.05 K/sq.ft,"Dec, 2023",,PR/GJ/VADODARA/VADODARA/Others/MAA07621/031120,755.00 sq.ft. - 1025.00 sq.ft.,"2, 3 BHK Apartments",
https://housing.com/buy-safalya-rise-by-safalya-inc-in-kalali-vadodara-pid-228588?fltcnt=fc224a1c-bc1e-4051-9406-aebed35e0e5b,Safalya Rise,SAFALYA INC,"Nr Auro Ville 2 Kalali, Vadodara",,,,3.74 K/sq.ft,"Dec, 2022",,PR/GJ/VADODARA/VADODARA/Others/MAA06333/161119,575.00 sq.ft. - 775.00 sq.ft.,"2, 3 BHK Apartments",
https://housing.com/buy-darshanam-splendora-3-by-darshanam-group-in-manjalpur-vadodara-pid-307266?fltcnt=c4491a1d-b678-4b4d-9187-dfd9d954dffa,Darshanam Splendora 3,DARSHANAM GROUP,"Darshanam Splendora III, Opp Auro Crystal, Near Suryadarshan Township, Manjalpur, Vadodara",,192 units,"Aug, 2023",Price on request,"Dec, 2026",,PR/GJ/VADODARA/VADODARA/Others/MAA12159/180823,2421.00 sq.ft. - 6067.00 sq.ft.,"3, 4, 5 BHK Apartment, Villa, Penthouses",
https://housing.com/buy-shivam-highview-by-shree-infra-in-waghodia-road-vadodara-pid-292476?fltcnt=21dcbba5-5e23-42ec-959d-6a286ab8d8bb,Shivam Highview,SHREE INFRA,"Near Narayan Smruti Hospital, Savita Hospital Road Waghodia Dabhoi Ring Road, Waghodia, Vadodara",,4 Buildings - 210 units,"Aug, 2022",3.15 K/sq.ft,"Nov, 2025",,PR/GJ/VADODARA/VADODARA/Others/RAA10862/031122,683.00 sq.ft. - 936.00 sq.ft.,"2, 3 BHK Apartments",
https://housing.com/buy-vrundavan-bliss-by-shree-balaji-developers-in-waghodia-road-vadodara-pid-286444?fltcnt=2853b6b0-2060-41aa-aeac-6e4d764e3bb1,Vrundavan Bliss,SHREE BALAJI DEVELOPERS,"Opp. Taksh Galaxy Mall & L&T Knowledge City, Waghodia Road, Vadodara",,3 Buildings - 172 units,"Oct, 2022",4.37 K/sq.ft,"Mar, 2026",,PR/GJ/VADODARA/VADODARA/Vadodara Municipal Corporation/MN211AA10111/031022,962.00 sq.ft. - 1520.00 sq.ft.,"3, 4 BHK Apartments",
https://housing.com/buy-kamaxi-avenue-by-kamaxi-group-in-waghodia-road-vadodara-pid-301584?fltcnt=260d0e89-b35b-49b0-bc6d-a823d6a0ab50,Kamaxi Avenue,KAMAXI GROUP,"Kamaxi Avenue Nr Pearl Ultima Waghodia Road, Vadodara",,6 Buildings - 216 units,"Jun, 2023",3.79 K/sq.ft,"Sep, 2026",,PR/GJ/VADODARA/VADODARA/Others/MAA11982/200623,1160.00 sq.ft. - 1440.00 sq.ft.,"3, 4 BHK Apartments",
https://housing.com/in/buy/projects/page/290596-shreyam-hills-by-shree-balaji-developers-in-navagam?fltcnt=2853b6b0-2060-41aa-aeac-6e4d764e3bb1,Shreyam Hills,SHREE BALAJI DEVELOPERS,"Navagam, Near Pavagadh",,1000 units,"Jan, 2022",888/sq.ft,,Residential Plots,RERA is not applicable,,,Ready to Move
https://housing.com/buy-aarya-bliss-by-vaishnavi-developers-in-harni-vadodara-pid-296190?fltcnt=e26680f1-3429-408b-a907-37a0679142c9,Aarya Bliss,VAISHNAVI DEVELOPERS,"Behind Nayra Petrol Pump,nr Shiv Darshan Duplex, Opp Shashwat Flat, Gada Circle, Vadodara",,2 Buildings - 30 units,"May, 2022",5.58 K/sq.ft,"May, 2024",,PR/GJ/VADODARA/VADODARA/Others/RAA10155/050522,1164.00 sq.ft. - 1657.00 sq.ft.,"3, 4 BHK Apartments",
https://housing.com/buy-jp-prisma-by-guruprasad-infrastructure-pvt-ltd-in-kalali-vadodara-pid-298332?fltcnt=bbf31746-eb5e-4cc6-b6a7-8db071cc9ad5,JP Prisma,GURUPRASAD INFRASTRUCTURE PVT LTD,"Opp Cloud Nine, Nr kings Villa Duplex, Kalali, Vadodara",,3 Buildings - 78 units,"Apr, 2023",2.74 K/sq.ft,"Aug, 2024",,PR/GJ/VADODARA/VADODARA/Others/MAA11667/26042,2515.00 sq.ft. - 2865.00 sq.ft.,"3, 4 BHK Apartments",
https://housing.com/buy-trinetra-silvernest-by-trinetra-developers-in-tarsali-vadodara-pid-301522?fltcnt=1a880b26-48da-4fa6-a8a5-baa23ac0e6ca,Trinetra Silvernest,TRINETRA DEVELOPERS,"Tarsali, Vadodara",,3 Buildings - 166 units,"May, 2023",3.58 K/sq.ft,"Jan, 2026",,PR/GJ/VADODARA/VADODARA/Others/RAA12409/101023,,"2, 3 BHK Apartments",
https://housing.com/buy-triveni-heights-by-rudra-infra-vadodara-in-new-gotri-vadodara-pid-254681?fltcnt=913eb3ac-13ba-43f1-9d9a-46fb3f981fd6,Triveni Heights,RUDRA INFRA VADODARA,"Opp Darshnam Clublife, New Gotri, Vadodara",1100.00 sq.ft.,3 Buildings - 120 units,,4.27 K/sq.ft,"Oct, 2025",3 BHK Apartment,PR/GJ/VADODARA/VADODARA/Others/RAA07895/080121,,,
https://housing.com/buy-everest-antara-by-everest-construction-company-in-bhayli-vadodara-pid-301618?fltcnt=ea0f754a-44a9-4049-9191-25f5fcc9794c,Everest Antara,EVEREST CONSTRUCTION COMPANY,"30 Mtr. extended Sunpharma Road, Bhayli, Bh Madrid County Nr. 75 Mtr. Ring Road, Bhayli, Vadodara, Vasna Bhayli Road, Vadodara",,3 Buildings - 164 units,"Jun, 2023",4.58 K/sq.ft,"Dec, 2027",3 BHK Apartment,PR/GJ/VADODARA/VADODARA/Others/MAA11997/220623,1267.00 sq.ft. - 1390.00 sq.ft.,,
https://housing.com/buy-madhuvan-impression-by-madhuvan-group-in-sevasi-vadodara-pid-289002?fltcnt=2d56b2cb-9907-4474-822e-3d4e514cd60f,Madhuvan Impression,MADHUVAN GROUP,"30 mtr. Sevasi - Bhayli Canal Road, Nr. Red Petal Party Plot, Sevasi, Vadodara",,1 Building - 39 units,"Oct, 2022",5.91 K/sq.ft,"Dec, 2025",,PR/GJ/VADODARA/VADODARA/Others/RAA10755/101022,2200.00 sq.ft. - 2850.00 sq.ft.,"4, 4.5 BHK Apartments",
https://housing.com/buy-sanvicasa-105-by-shree-siddhi-createurs-in-tarsali-vadodara-pid-293175?fltcnt=c70f6946-87ed-4c0d-a551-028cac753618,Sanvicasa 105,SHREE SIDDHI CREATEURS,"Beside Rajanand Dwalling, Soma-Talav Ring Road, Tarsali, Vadodara",1940.00 sq.ft.,105 units,"Jan, 2023",6.44 K/sq.ft,"Dec, 2025",4 BHK Villa,PR/GJ/VADODARA/VADODARA/Others/MAA11046/171222,,,
https://housing.com/buy-survi-pristine-by-survi-prestine-in-manjalpur-vadodara-pid-310450?fltcnt=2229afbb-a50b-4a6d-bea7-27dfc3e17ef5,Survi Pristine,SURVI PRESTINE,"Beside Mahalaxmi Party Plot, Tulsidham, Jupiter Rd, Manjalpur, Vadodara",,4 Buildings - 328 units,"Mar, 2022",6.63 K/sq.ft,"Jun, 2026",,PR/GJ/VADODARA/VADODARA/Others/MAA10716/300922,1507.00 sq.ft. - 2207.00 sq.ft.,"3, 3.5, 4 BHK Apartments",
https://housing.com/buy-kamaxi-avenue-by-kamaxi-group-in-waghodia-road-vadodara-pid-301584?fltcnt=260d0e89-b35b-49b0-bc6d-a823d6a0ab50,Kamaxi Avenue,KAMAXI GROUP,"Kamaxi Avenue Nr Pearl Ultima Waghodia Road, Vadodara",,6 Buildings - 216 units,"Jun, 2023",3.79 K/sq.ft,"Sep, 2026",,PR/GJ/VADODARA/VADODARA/Others/MAA11982/200623,1160.00 sq.ft. - 1440.00 sq.ft.,"3, 4 BHK Apartments",
https://housing.com/in/buy/projects/page/290596-shreyam-hills-by-shree-balaji-developers-in-navagam?fltcnt=2853b6b0-2060-41aa-aeac-6e4d764e3bb1,Shreyam Hills,SHREE BALAJI DEVELOPERS,"Navagam, Near Pavagadh",,1000 units,"Jan, 2022",888/sq.ft,,Residential Plots,RERA is not applicable,,,Ready to Move
https://housing.com/buy-aarya-bliss-by-vaishnavi-developers-in-harni-vadodara-pid-296190?fltcnt=e26680f1-3429-408b-a907-37a0679142c9,Aarya Bliss,VAISHNAVI DEVELOPERS,"Behind Nayra Petrol Pump,nr Shiv Darshan Duplex, Opp Shashwat Flat, Gada Circle, Vadodara",,2 Buildings - 30 units,"May, 2022",5.58 K/sq.ft,"May, 2024",,PR/GJ/VADODARA/VADODARA/Others/RAA10155/050522,1164.00 sq.ft. - 1657.00 sq.ft.,"3, 4 BHK Apartments",
https://housing.com/buy-jp-prisma-by-guruprasad-infrastructure-pvt-ltd-in-kalali-vadodara-pid-298332?fltcnt=bbf31746-eb5e-4cc6-b6a7-8db071cc9ad5,JP Prisma,GURUPRASAD INFRASTRUCTURE PVT LTD,"Opp Cloud Nine, Nr kings Villa Duplex, Kalali, Vadodara",,3 Buildings - 78 units,"Apr, 2023",2.74 K/sq.ft,"Aug, 2024",,PR/GJ/VADODARA/VADODARA/Others/MAA11667/26042,2515.00 sq.ft. - 2865.00 sq.ft.,"3, 4 BHK Apartments",
https://housing.com/buy-trinetra-silvernest-by-trinetra-developers-in-tarsali-vadodara-pid-301522?fltcnt=1a880b26-48da-4fa6-a8a5-baa23ac0e6ca,Trinetra Silvernest,TRINETRA DEVELOPERS,"Tarsali, Vadodara",,3 Buildings - 166 units,"May, 2023",3.58 K/sq.ft,"Jan, 2026",,PR/GJ/VADODARA/VADODARA/Others/RAA12409/101023,,"2, 3 BHK Apartments",
https://housing.com/buy-triveni-heights-by-rudra-infra-vadodara-in-new-gotri-vadodara-pid-254681?fltcnt=913eb3ac-13ba-43f1-9d9a-46fb3f981fd6,Triveni Heights,RUDRA INFRA VADODARA,"Opp Darshnam Clublife, New Gotri, Vadodara",1100.00 sq.ft.,3 Buildings - 120 units,,4.27 K/sq.ft,"Oct, 2025",3 BHK Apartment,PR/GJ/VADODARA/VADODARA/Others/RAA07895/080121,,,
